Código,Descripción,Definición,cuenta_digepres,descripcion_digepres
26111709,Baterías de níquel-cadmio,Es un tipo de batería recargable utilizando hidróxido de níquel y óxido de cadmio metálico como electrodos.,2.3.9.6.01,Productos eléctricos y afines
26111710,Bloques de pilas específicas para productos,Material compacto conformado por pilas secas para un uso determinado,2.3.9.6.01,Productos eléctricos y afines
26111711,Baterías de litio,Son baterías desechables (primario) que tienen metal de litio o compuestos de litio como ánodo. Ellos se distinguen de otras baterías en su elevada densidad de carga (larga vida) y el alto costo por unidad.,2.3.9.6.01,Productos eléctricos y afines
26111712,Baterías de níquel- hidrógeno,Es una fuente de potencia electroquímica recargable basada en niquel e hidrógeno.,2.3.9.6.01,Productos eléctricos y afines
26111713,Baterías térmicas,Baterías térmicas son baterías de pilas de reserva que emplean electrolitos inorgánicos sal. Estos electrolitos son relativamente no conductores sólidos a temperatura ambiente.,2.3.9.6.01,Productos eléctricos y afines
26111714,Zinc aire,"Pilas zinc-aire (no recargables), y zinc-aire pilas de combustible, (mecánicamente recargables) son electro-químicas baterías alimentadas por oxidación de zinc con el oxígeno del aire. Estas baterías tienen altas densidades de energía y son relativamente baratos de producir",2.3.9.6.01,Productos eléctricos y afines
26111715,Batería de carbono zinc,"Es un tipo de pila seca que fue desarrollada a partir de la celda electroquímica o pila húmeda Leclanché.1 Está formada por un recipiente externo de zinc que sirve como contenedor y terminal o polo negativo en cuyo interior se encuentra el terminal positivo, que es generalmente una barra de carbono o una barra de grafito rodeada por una mezcla de dióxido de manganeso, negro de acetileno y polvo de carbono.",2.3.9.6.01,Productos eléctricos y afines
26111716,Batería de oxido de mercurio,"Una batería de mercurio (también llamado pila de óxido mercúrico, o células de mercurio) es un no recargable Batería electroquímica, una célula primaria. Baterías de mercurio fueron utilizados en forma de pilas de botón para relojes, audífonos y calculadoras, y en formas más grandes para otras aplicaciones.",2.3.9.6.01,Productos eléctricos y afines
26111717,Baterías del manganeso,"Es una versión mejorada de la pila alcalina, en la que se ha sustituido el conductor iónico cloruro de amonio por hidróxido de potasio (de ahí su nombre de alcalina). El recipiente de la pila es de acero, y la disposición del cinc y del óxido de manganeso (IV) (o dióxido de manganeso) es la contraria, situándose el cinc, ahora en polvo, en el centro.",2.3.9.6.01,Productos eléctricos y afines
26111718,Baterías de óxido de plata,"Es una batería que contiene un fino polvo negro o café oscuro, usado para preparar otros compuestos de plata.",2.3.9.6.01,Productos eléctricos y afines
26111719,Probadores de baterías,Herramienta que se utiliza para verificar la carga con que cuenta una bateria.,2.6.5.6.01,Equipo de generación eléctrica y a fines
26111720,Soportes de batería,Accesorios utilizados para dar firmeza a una bateria al momento de ponerlo en su posición de trabajo.,2.3.9.8.01,Repuestos
26111721,Baterías de níquel-hidruro metálico,"Es un tipo de batería recargable que utiliza un ánodo de oxidróxido de níquel (NiOOH), como la batería de níquel cadmio, pero su cátodo es de una aleación de hidruro metálico. Esto permite eliminar el cadmio, que es muy caro y, además, representa un peligro para el medio ambiente.",2.3.9.6.01,Productos eléctricos y afines
26111722,Adaptador de batería o accesorios,"Dispositivo o aparato que sirve para acomodar elementos de distinto uso, diseño, tamaño, finalidad.",2.3.9.8.02,Accesorios
26111723,"Puertas, tapas o estantes de baterías","Armazón puesta en el quicio y asegurada por el otro lado con llave, cerrojo u otro instrumento, sirve para impedir la entrada y salida, para cerrar o abrir el compartimiento donde se encuentran ubicadas las baterias.",2.3.9.8.01,Repuestos
26111724,Kits de herramientas para baterías,Juego de herramientas utilizado para darle mantenimiento a las baterías o pilas,2.3.9.8.01,Repuestos
26111725,Baterías de níquel-cloruro de sodio,"Son un tipo de pilas, tanto primarias como secundarias, de alta temperatura de funcionamiento, que usan la sal fundida como electrolito.",2.3.9.6.01,Productos eléctricos y afines
26111726,Agua para batería,"Es agua destilada o desmineralizada que ha sido especialmente tratada físico-química para permitir la eliminación de los minerales y metales, permitiendo alargar la vida de los componentes y de la batería.",2.3.7.2.99,Otros productos químicos y conexos
26111801,Correas en v,"Correa de transmisión a un tipo de transmisión mecánica basado en la unión de dos o más ruedas, sujetas a un movimiento de rotación, por medio de una cinta o Correa continua, la cual abraza a las ruedas ejerciendo fuerza de fricción suministrándoles energía desde la rueda motriz.",2.3.9.8.01,Repuestos
26111802,Correas de distribución de engranaje,"Correa de distribución, banda de distribución o dentada , es uno de los más comunes métodos de transmisión de la energía mecánica entre un piñón de arrastre y otro arrastrado, mediante un sistema de dentado mutuo que posee tanto la correa como los piñones, impidiendo su deslizamiento mutuo.",2.3.9.8.01,Repuestos
26111803,Correas redondas,Correas redondas son un cinturón de sección transversal circular diseñado para ejecutarse en una polea con una de 60 grados V-groove.,2.3.9.8.01,Repuestos
26111804,Correas planas,"Las correas planas se caracterizan por tener por sección transversal un rectángulo. Fueron el primer tipo de correas de transmisión utilizadas, pero actualmente han sido sustituidas por las correas trapezoidales. Son todavía estudiadas porque su funcionamiento representa la física básica de todas las correas de trasmisión.",2.3.9.8.01,Repuestos
26111805,Tensores de correa,"Rodillo o polea que es empleado en las transmisiones por correa para mantener tensa la misma; de hecho, durante el funcionamiento la correa se alarga y, si no existiese el tensor para recuperar los alargamientos ayudado por un muelle, se produciría el deslizamiento perjudicando tanto la duración de la correa como la transmisión de la potencia.",2.3.9.8.01,Repuestos
26111806,Poleas de transmisión,Dispositivos que se emplean para transmitir la potencia mecánica proporcionada por el eje del motor entre dos ejes separados entre sí por una cierta distancia.,2.3.9.8.01,Repuestos
26111807,Polea de distribución,Son una correa de transferencia positiva y puede seguir el movimiento relativo. Estas bandas tienen dientes que encajan en una polea dentada coincidencia.,2.3.9.8.01,Repuestos
26111808,Trantorque,Tuerca o dispositivo utilizado para ejercer fuerza.,2.3.9.8.01,Repuestos
26111809,Defensas de correa,Cobertores normalmente de plastico que se utilizapara cubrir o proteger las correas,2.3.9.8.01,Repuestos
26111810,Bridas de la polea de distribución,Es el elemento que une dos componentes de un sistema distribución.,2.3.9.8.01,Repuestos
26111901,Embragues de placa,El embrague es un sistema que permite tanto transmitir como interrumpir la transmisión de una energía mecánica a su acción final de manera voluntaria,2.3.9.8.01,Repuestos
26111902,Embragues de diafragma,"Es un sistema que permite tanto trasmitir como interrupir la transmisiñon de una energía mecánica, el beneficio de este es que transfiere mayor torque  comparado con otros.",2.3.9.8.01,Repuestos
26111903,Embrague centrífugo,"Un embrague centrífugo es un embrague que utiliza la fuerza centrífuga para conectar dos ejes concéntricos, con el eje de accionamiento anidado dentro del eje accionado.",2.3.9.8.01,Repuestos
26111904,Embrague semi centrífugo,Es un dispositivo donde los muelles se utilizan a una velocidad menor para la transmisión del par y la fuerza centrífuga se utiliza en la transmisión de alto par de velocidad.,2.3.9.8.01,Repuestos
26111905,Embrague de rueda libre,Un piñón libre o rueda libre es el mecanismo que permite a un eje girar libremente en un sentido y ser engranado en el sentido contrario,2.3.9.8.01,Repuestos
26111907,Acoplamiento de fluido,Es un dispositivo hidrodinámico utiliza para transmitir energía de rotación mecánica.,2.3.9.8.01,Repuestos
26111908,Embragues de leva,"Se refiera a embragues antiretroceso o en un solo sentido.  Estos embragues se utilizan para tres modos básicos de operación:rueda libre,indexación y apoyo",2.3.9.8.01,Repuestos
26111909,Embragues eléctricos,"Embragues electromagnéticos funcionan eléctricamente, pero transmitir el par mecánico.",2.3.9.8.01,Repuestos
26111910,Embragues hidráulicos,"El embrague hidráulico que mas tarde evolucionara llamandose convertidor de par, actúa como embrague automático entre el motor y la caja de cambios que, en estos casos, suele ser automática o semiautomática.",2.3.9.8.01,Repuestos
26112001,Placa de presión,Este es un anillo de hierro que presiona el disco de embrague contra el volante usando el resorte en la cubierta de embrague. La superficie que pega contra el disco de embrague es plana. Esta placa es hecha de un material que tiene excelente resistencia al calor y resistencia al desgaste.,2.3.9.8.01,Repuestos
26112002,Placa impulsada,La cubierta de embrague empuja la placa de presión contra el disco de embrague para transmitir la potencia y para desenganchar el embrague. Un tipo usa varios resortes en espiral y otro tipo usa resorte de diafragma simple (resorte de placas).,2.3.9.8.01,Repuestos
26112003,Placas de embrague,Este es un disco redondo posicionado entre el volante en el lado del motor  y la placa de presión interior de la cubierta del embrague. El material de fricción es fijado al exterior de la circunferencia y a ambos lados y una muesca es provista en el centro para fijar el eje de la transmisión.,2.3.9.8.01,Repuestos
26112004,Kits de reparación del embrague,Juego de herramientas utilizado para reparar y darle mantenimiento al embrague,2.3.6.3.04,Herramientas menores
26112101,Sistemas de frenos neumáticos o de aire,"Los sistemas de frenado de aire usan aire comprimido para hacer funcionar los frenos. Los frenos de aire son un medio bueno y seguro de parar los vehículos grandes y pesados, pero los frenos deben tener un buen mantenimiento y deben usarse apropiadamente",2.6.5.7.01,Máquinas-herramientas
26112102,Sistemas de frenos hidráulicos,"Los frenos hidráulicos utilizan la presión de un líquido (presión hidráulica) para forzar las zapatas de freno hacia fuera, contra las tamboras.El sistema consta esencialmente de dos componentes: el pedal del freno con un cilindro maestro y el mecanismo de freno de ruedas, junto con los tubos o conductos correspondientes y las piezas de sujeción.",2.6.5.7.01,Máquinas-herramientas
26112103,Sistemas de frenos mecánicos,"Sistemas que son accionado por la aplicación de una fuerza que es transmitida mecánicamente, por palancas, cables u otros mecanismos a los diversos puntos del frenado. Se utiliza únicamente para pequeñas potencias de frenado y suele requerir frecuentes ajustes para igualar su acción sobre las ruedas.",2.3.9.8.01,Repuestos
26112104,Conjuntos de embrague de frenado,Una unidad que combina agarre y capacidad de frenado. Pueden combinar ambas funciones y se utilizan en maquinaria pesada.,2.3.9.8.01,Repuestos
26112105,Sistemas de frenado eléctrico,Sistema que permite decelerar o detener un vehículo mediante accionamiento eléctrico,2.6.5.7.01,Máquinas-herramientas
26121501,Alambre calentador,Elemento electrico utilizado para el calentamiento de otro dispositivo,2.3.9.6.01,Productos eléctricos y afines
26121505,Alambre para artefactos,Conductor (generalmente cobre) o conjunto de ellos generalmente recubierto de un material aislante o protector.,2.3.9.6.01,Productos eléctricos y afines
26121507,Alambre para radio o televisión,Conductor (generalmente cobre) o conjunto de ellos generalmente recubierto de un material aislante o protector que se utiliza para la radio y televisión,2.3.9.6.01,Productos eléctricos y afines
26121508,Alambre para automoción o aviación,Conductor (generalmente cobre) o conjunto de ellos generalmente recubierto de un material aislante o protector que se utiliza para el sector automotriz y aviación,2.3.9.6.01,Productos eléctricos y afines
26121509,Alambre para imanes,"Imán alambre o hilo esmaltado es un alambre de cobre o aluminio recubierto con una capa muy delgada de aislamiento. Se utiliza en la construcción de transformadores, inductores, motores, altavoces, actuadores cabeza del disco duro, potenciómetros, electroimanes, y otras aplicaciones que requieren bobinas apretadas de alambre.",2.3.9.6.01,Productos eléctricos y afines
26121510,Alambre de trole,Es el material uilizado en las líneas aéreas de alimentación que trasmite energía electrica a las locomotoras u otro material electrico.,2.3.9.6.01,Productos eléctricos y afines
26121514,Alambre subterráneo,Es el conjunto de cables que se disponen debajo de la tierra o soterrados,2.3.9.6.01,Productos eléctricos y afines
26121515,Alambre de silicio-amianto (sa),Hilo delgado que esta compuesto de silicio con amianto.,2.3.9.6.01,Productos eléctricos y afines
26121517,Hilo de cobre,Hilo delgado que se obtiene por estiramiento del cobre acuerdo con la propiedad de ductilidadque posee el mismos.,2.3.9.6.01,Productos eléctricos y afines
26121519,Alambre de aluminio revestido de cobre,"Es un alambre bimetálico con un revestimiento de cobre concéntrico que cubre una base de aluminio, y combina las características óptimas de ambos metales en un solo material compuesto adecuado ideal para la mayoría de los usos eléctricos del conductor, tales como cables coaxiales, los cables de alta frecuencia de la transmisión de la señal, los cables de control, alambre electromágnetico y alambre esmaltado especial y muchos otros campos.",2.3.9.6.01,Productos eléctricos y afines
26121520,Alambre de cobre-acero,Es un producto bimetálico ampliamento utilizado en la industria del cable que combina la alta resistencia mecánica del acero con la conductividad y resistencia a la corrosión del cobre.,2.3.9.6.01,Productos eléctricos y afines
26121521,Alambre de bronce,"Hilo delgado que se obtiene por estiramiento de los diferentes metales de acuerdo con la propiedad de ductilidad que poseen los mismos. Los principales metales para la producción de alambre son: hierro, cobre, latón, plata, aluminio, broncem, etc.",2.3.9.6.01,Productos eléctricos y afines
26121522,Alambre pelado,"Alambre redondo de cobre electrolítico desnudo en
temple duro, semiduro y blando.",2.3.9.6.01,Productos eléctricos y afines
26121523,Alambre forrado pero no aislado,"Alambre conductor de cobre sólido o trenzado de aluminum/CCA, no aislado.",2.3.9.6.01,Productos eléctricos y afines
26121524,Alambre aislado o forrado,"Alambre conductor de cobre sólido o trenzado de aluminum/CCA, aislado PVC",2.3.9.6.01,Productos eléctricos y afines
26121532,Alambre para interconexiones,"Formado por pares, está previsto para efectuar conexiones en los tableros terminales o en los distribuidores
dentro de las instalaciones del abonado.",2.3.9.6.01,Productos eléctricos y afines
26121533,Alambre de kaptan,Hilo compuesto de kaptan.,2.3.9.6.01,Productos eléctricos y afines
26121534,Alambre de poliamida,"Ideal para la instalación de invernaderos, para frutales, viñedos, instalciones ganaderas ( ventanas ), plantaciones superintensivas de olivar...
Es inalterable a la acción de los productos fertilizantes y tratamientos fitosanitarios, así como por la acción de la intemperie y los rayos U.V.",2.3.9.6.01,Productos eléctricos y afines
26121536,Cordón de extensión,"Es una longitud de cable de alimentación eléctrico flexible (flex) con un enchufe en un extremo y una o más tomas de corriente en el otro extremo (por lo general del mismo tipo que el enchufe). El término se refiere a la red doméstica (CA) extensiones, pero también se utiliza para referirse a las extensiones para otros tipos de cables. Si el enchufe y el receptáculo son de diferentes tipos, puede ser utilizado el término ""cable del adaptador"". Cable de extensión también se utiliza, pero que tiene un significado distinto del cable de extensión para muchas personas",2.3.9.6.01,Productos eléctricos y afines
26121538,Conjunto de cable,Manojo de hilos cruzados utilizados para determinado objetivo.,2.3.9.6.01,Productos eléctricos y afines
26121539,Cables para cableado,"Son hilos cruzados de dos en dos con la gama de colores, blanco-naranja, naranja, blanco-verde, verde, blanco-azul, azul, blanco marrón, marrón. Para realizar el montaje de conectores rj45 sobre ellos debemos destrenzar.",2.3.9.6.01,Productos eléctricos y afines
26121540,Cable galvanizado,Se utiliza a menudo para mejorar la resistencia a  la corrosión de los cables.,2.3.9.6.01,Productos eléctricos y afines
26121541,Conductores de bus,Es un material que ofrece poca resistencia al movimiento de carga eléctrica.,2.3.9.6.01,Productos eléctricos y afines
26121601,Cable de calentamiento,"Se utiliza para una amplia gama de aplicaciones, incluyendo la tubería de la localización, protección contra la congelación, control de la viscosidad, mantenimiento de temperatura de proceso.",2.3.9.6.01,Productos eléctricos y afines
26121602,Cable submarino,Es aquel cable de cobre o fibra óptica instalado sobre el lecho marino y destinado fundamentalmente a servicios detelecomunicación.,2.3.9.6.01,Productos eléctricos y afines
26121603,Cable de mando,"Es un cable de instrumentación flexible, diseñado para la medición, control o regulación en el campo de la automatización de procesos. Se trata de un cable multinúcleo altamente flexible, con (clase 5) conductores de cobre y un cable trenzado de acero galvanizado (GSWB) para la protección mecánica.",2.3.9.6.01,Productos eléctricos y afines
26121604,Cable para señales,Es un cable utilizado para transportar de un punto a otro algun tipo de señal.,2.3.9.6.01,Productos eléctricos y afines
26121605,Cable para automoción o aviación,"Se emplean en una amplia gama de aplicaciones de vehículos, tales como arneses de cables convencionales, aplicaciones especiales como bombas de combustible permanentemente sumergidas en depósitos de combustible así como otras aplicaciones en sistemas ABS, sistemas de bolsas de aire de seguridad, faros, varios sensores, etc.",2.3.9.6.01,Productos eléctricos y afines
26121606,Cable coaxial,"Es un cable utilizado para transportar señales eléctricas de alta frecuencia que posee dos conductores concéntricos, uno central, llamado vivo, encargado de llevar la información, y uno exterior, de aspecto tubular, llamado malla o blindaje, que sirve como referencia de tierra y retorno de las corrientes.",2.3.9.6.01,Productos eléctricos y afines
26121607,Cable de fibra óptica,"Cable en que se transportan señales digitales de datos en forma de pulsos modulados de luz. Esta es una forma relativamente segura de enviar datos debido a que, a diferencia de los cables de cobre que llevan los datos en forma de señales electrónicas, los cables de fibra óptica transportan impulsos no eléctricos.",2.3.9.6.01,Productos eléctricos y afines
26121608,Cable aéreo,"Conjunto de cables, las cabinas que circulan por ellos y las instalaciones anexas.",2.3.9.6.01,Productos eléctricos y afines
26121609,Cable de redes,"Es una interfaz física comúnmente usada para conectar redes de cableado estructurado, (categorías 4, 5, 5e, 6 y 6a). Posee ocho pines o conexiones eléctricas, que normalmente se usan como extremos de cables de par trenzado.",2.3.9.6.01,Productos eléctricos y afines
26121610,Cable de bronce,"Conductor de bronce o conjunto de ellos generalmente recubierto de un material aislante o protector,",2.3.9.6.01,Productos eléctricos y afines
26121611,Cable desnudo,"Cables conductores están formados por alambres de cobre electrolítico pureza 99,9% , con cableado concéntrico de 7, 19, 39, y 61 hilos de acuerdo al calibre, en temple duro, semiduro o suave.",2.3.9.6.01,Productos eléctricos y afines
26121612,Cable forrado pero no aislado,Cable electrico que comprende un conductor metalico y el cual se encuentra revestido.,2.3.9.6.01,Productos eléctricos y afines
26121613,Cable aislado o forrado,"Cable electrico que comprende un conductor metalico y un aislante resistente a la descarga ramificada de agua de una composiciondielectrica que comprende polimero de etileno y cantidades efectivas, como un inhibidor de descarga ramificada de agua de al menos un organo silano",2.3.9.6.01,Productos eléctricos y afines
26121614,Cable de construcción,"Es un tipo de cable mecánico formado un conjunto de alambres de acero o hilos de hierro que forman un cuerpo único como elemento de trabajo. Estos alambres pueden estar enrollados de forma helicoidal en una o más capas, generalmente alrededor de un alambre central, formando los cables espirales",2.3.9.6.01,Productos eléctricos y afines
26121615,Cable para ser enterrado de forma directa,Es un tipo de cable especial que está diseñado para ejecutarse en una zanja subterránea sin el uso de conducto para rodearlo. Las líneas de alimentación están provistas de un revestimiento termoplástico que impide la entrada de humedad y protege los cables dentro.,2.3.9.6.01,Productos eléctricos y afines
26121616,Cable de telecomunicaciones,"Tipo de medios de transmisión guiados. Los cables están por lo general conocidos para transmitir energía eléctrica (AC / DC), pero en los campos de telecomunicaciones, los cables se utilizan para transmitir las ondas electromagnéticas, que se denominan guías de ondas electromagnéticas.",2.3.9.6.01,Productos eléctricos y afines
26121617,Cable triaxial,"Es un tipo de cable eléctrico similar a un cable coaxial, pero con la adición de una capa adicional de aislamiento y una segunda vaina de la realización. Se proporciona un mayor ancho de banda y el rechazo de la interferencia que el coaxial, pero es más caro",2.3.9.6.01,Productos eléctricos y afines
26121618,Cable de poliqueno reticulado,"Es una forma de polietileno con enlaces cruzados. Este es formado en tubos, y se utiliza principalmente en sistemas de tuberías para suministros de servicios, sistemas de calefacción radiante con agua caliente, tuberías de agua para uso doméstico y aislamiento de alta tensión para los cables eléctricos.",2.3.9.6.01,Productos eléctricos y afines
26121619,Cable de floropolímero,"Proporciona un recinto para el cableado de la interconexión, disponibles económicos, ligeros, durables en tres flexibles y materiales versátiles, con o sin el trenzado de EMI/RFI y jacketing.",2.3.9.6.01,Productos eléctricos y afines
26121620,Cable para interconexiones,"Una interconexión es una comunicación efectuada entre dos o más puntos, con el objetivo de crear una unión entre ambos, sea temporal para efectuar una transmisión puntual o fija, on-line, comunicando permanentemente dos máquinas",2.3.9.6.01,Productos eléctricos y afines
26121621,Cable de kaptan,"Se utiliza en, entre los otras cosas, los circuitos impresos flexibles (electrónica flexible) y prendas de micrometeoritos térmica, la capa exterior de los trajes espaciales.",2.3.9.6.01,Productos eléctricos y afines
26121622,Cable de poliamida,"Sustituto del alambre, ideal para la instalación de invernaderos, para frutales, viñedos, instalciones ganaderas ( ventanas ), plantaciones superintensivas de olivar...",2.3.9.6.01,Productos eléctricos y afines
26121623,Cable de radiofrecuencia (rf),"Cable usado en la transmisión y recepción de señales de radiofrecuencias, transmisión de datos, redes informáticas, etc.",2.3.9.6.01,Productos eléctricos y afines
26121624,Cable plano o de cinta,Cable con muchos alambres conductores dispuestos paralelamente cada uno junto a otro en el mismo plano lineal. El resultado es un cable ancho y plano. Su nombre proviene de la semejanza del cable con un trozo de cinta.,2.3.9.6.01,Productos eléctricos y afines
26121628,Cables blindados,"Tipo de cable recubierto por una malla o un tubo metálico, que actúa de jaula de Faraday para evitar el acople de ruidos y otras interferencias, tanto del entorno hacia el cable, como del cable al entorno.",2.3.9.6.01,Productos eléctricos y afines
26121629,Cable de alimentación,"Es un cable eléctrico que sirve para conectar los electrodomésticos o cualquier otro tipo de dispositivo eléctrico a la red de suministro a través de un enchufe o conectándose a un alargador eléctrico. Se caracteriza porque forma una conexión temporal, fácil de desconectar y volver de reconectar en cualquier otro punto de red",2.3.9.6.01,Productos eléctricos y afines
26121630,Accesorios de cable,Elementos adicionales utilizados con los cables.,2.3.9.8.02,Accesorios
26121631,Cable coaxial exterior de planta,"El cable coaxial también se compone de dos conductores, pero en este caso uno de ellos es un alambre interno y el otro una malla metálica que lo rodea. Los dos conductores están separados por un aislante y la malla tiene una cubierta de plástica",2.3.9.6.01,Productos eléctricos y afines
26121632,Cable de comunicaciones exterior de planta,Son los elementos que se utilizan para las comunicaciones fuera de las instalaciones para prestar el servicio al cliente.,2.3.9.6.01,Productos eléctricos y afines
26121633,Cable de telecomunicaciones exterior de planta,Son los elementos que se utilizan para las telecomunicaciones fuera de las instalaciones para prestar el servicio al cliente.,2.3.9.6.01,Productos eléctricos y afines
26121634,Cable de cobre,"Se llama cable a un conductor de cobre o conjunto de ellos generalmente recubierto de un material aislante o protector, si bien también se usa el nombre de cable para transmisores de luz  o esfuerzo mecánico.",2.3.9.6.01,Productos eléctricos y afines
26121635,Rollos de cable,"Cilindro provisto de platos o tapas sobre el que un cable se enrolla en el curso de su fabricación, para su almacenamiento, su transporte y su instalación.",2.3.9.6.01,Productos eléctricos y afines
26121636,Cables de alimentación,"Es un cable eléctrico que sirve para conectar los electrodomésticos o cualquier otro tipo de dispositivo eléctrico a la red de suministro a través de un enchufe o conectándose a un alargador eléctrico. Se caracteriza porque forma una conexión temporal, fácil de desconectar y volver de reconectar en cualquier otro punto de red.",2.3.9.6.01,Productos eléctricos y afines
26121637,Cable de fibra óptica de exterior,Un cable de fibra óptica está compuesto por un grupo de fibras ópticas por el cual se transmiten señales luminosas. Las fibras ópticas comparten su espacio con hiladuras de aramida que le confieren la necesaria resistencia a la tracción.,2.3.9.6.01,Productos eléctricos y afines
26121701,Cableado preformado de panel,Es un conjunto de cables o alambres que transmiten señales o energía eléctrica.,2.3.9.6.01,Productos eléctricos y afines
26121702,Cableado preformado troncal,"Aquel en el cual, el alambre, el cordón o ambos, se deforman permanentemente de tal manera que adquieren la helicoidal que ocupará en su posición final",2.3.9.6.01,Productos eléctricos y afines
26121703,Cableado preformado de comunicación,Es un conjunto de cables o alambres que transmiten señales de comunicación.,2.3.9.6.01,Productos eléctricos y afines
26121704,Arnés de alambrado especial,Es un conjunto de cables o alambres con especificaciones especiales.,2.3.9.6.01,Productos eléctricos y afines
26121705,Conjunto de cable de fibra óptica,Un cable de fibra óptica está compuesto por un grupo de fibras ópticas por el cual se transmiten señales luminosas. Las fibras ópticas comparten su espacio con hiladuras de aramida que le confieren la necesaria resistencia a la tracción.,2.3.9.6.01,Productos eléctricos y afines
26131501,Centrales eléctricas de diesel,Son las instalaciones productoras de energía eléctrica. ... son de pequeña potencia y generalmente accionadas por motores Diesel,2.7.2.2.01,Obras de energía
26131502,Centrales eléctricas geotérmicas,Es un lugar donde se aprovecha el calor interno de la Tierra. Para aprovechar esta energía es necesario que se dentemperaturas muy elevadas a poca profundidad. Sólo así es posible aprovechar el agua caliente o el vapor de agua generados de forma natural.,2.7.2.2.01,Obras de energía
26131503,Centrales hidroeléctricas,Una central hidroeléctrica es una planta productora de energía eléctrica generada a partir de la energía potencial del agua que se encuentra retenida en una represa o dique.,2.7.2.2.01,Obras de energía
26131504,Centrales de gas,Se usan en los sistemas centralizados de suministro de gas para reducir la alta presión primaria de los cilindros a presiones secundarias manejables. Además es el lugar donde se cambian los cilindros. Pueden considerarse el corazón del sistema central de gas.,2.7.2.2.01,Obras de energía
26131505,Centrales de energía  marina,Es una  instalación industrial marina para la generación de energía eléctrica,2.7.2.2.01,Obras de energía
26131506,Centrales de energía a petróleo,Es una estructura de grandes dimensiones cuya función es extraer petróleo y gas natural de los yacimientos del lecho marino que luego serán exportados hacia la costa.,2.7.2.2.01,Obras de energía
26131507,Centrales de energía solar,"Una central solar es una instalación capaz de convertir la energía solar, obtenida mediante otras fuentes de energía primaria, en energía eléctrica.",2.7.2.2.01,Obras de energía
26131508,Centrales termoeléctricas,"Instalación empleada en la generación de energía eléctrica a partir de la energía liberada en forma decalor, normalmente mediante la combustión de combustibles fósiles como petróleo, gas natural o carbón. Este calor es empleado por un ciclo termodinámico convencional para mover un alternador y producir energía eléctrica.",2.7.2.2.01,Obras de energía
26131509,Central de energía eólica,Se basan en la utilización del viento como energía primaria para la producción de energía eléctrica.,2.7.2.2.01,Obras de energía
26131510,Central térmica,"Es una instalación que produce energía eléctrica a partir de la combustión de carbón, fuel-oil o gas en una caldera.",2.7.2.2.01,Obras de energía
26131601,Pantallas de agua móviles,"Se compone de un aro ancho y delgado de madera y de un fondo diversamente agujereado y de diferentes materiales, según la operación.",2.3.9.8.01,Repuestos
26131602,Travesaños corredizos,Pieza alargada de madera o de otro material que atraviesa una cosa de una parte a otra,2.3.9.8.01,Repuestos
26131603,Rejillas de agua,Es una pieza que combina elementos unidos de manera que queden espacios repetitivos. Ordinariamente la rejilla es una pieza con elementos en una sola direccion pero en algunos casos puede ser bidirecional y contar con elementos perpendiculares a los principales dando lugar a una malla.,2.3.9.8.01,Repuestos
26131604,Filtros fijos,El dispositivo que discrimina uno o varios elementos determinados de algo que atraviesa a través de él,2.3.9.8.01,Repuestos
26131605,Estructuras de toma,Estructura a través de la cual la fuente de agua para los sistemas de agua de refrigeración entra o desemboca en una instalación de generación de energía.,2.7.2.2.01,Obras de energía
26131606,Chimenea de acero,"Sistema usado para evacuar gases calientes y humo de calderas, calentadores, estufas, hornos, fogones u hogares a la atmósfera, fabricado en acero.",2.3.6.3.06,Productos metálicos
26131607,Chimenea de concreto,"Sistema usado para evacuar gases calientes y humo de calderas, calentadores, estufas, hornos, fogones u hogares a la atmósfera, fabricado en hormigón.",2.6.5.2.01,Maquinaria y equipo industrial
26131608,Chimeneas de ventilación o antorchas,Designada a menudo una chimenea termal - es una manera de mejorar la ventilación natural de edificios usando la convección del aire calentado por energía solar pasiva.,2.6.5.2.01,Maquinaria y equipo industrial
26131609,Chimeneas de admisión,Sistema para admitir gases calientes.,2.6.5.2.01,Maquinaria y equipo industrial
26131610,Chimeneas de derivación,Un sistema de separación de turbina de gas que desvía los gases de combustión del generador de una parte de un todo para dirigirla a otra parte en el modo de ciclo combinado a una pila de derivación con un silenciador,2.6.5.2.01,Maquinaria y equipo industrial
26131611,Secciones de silenciador,"Un silenciador es un dispositivo, comúnmente de forma cilíndrica y de longitud y diámetro variable, con finalidad de reducir o eliminar ruidos fuertes.",2.3.9.8.01,Repuestos
26131612,Conductos de salida de escape,Dispositivo que sirve para evacuar los gases de combustión desde el motor hacia el exterior. Está constituido generalmente por un colector de escape que recoge los gases de escape en salida de los cilindros prolongado por un dispositivo de evacuación,2.3.9.8.01,Repuestos
26131613,Juntas de dilatación de conductos de escape,Es un elemento que permite los movimientos relativos entre dos partes de una estructura o entre la estructura y otras con las cuales trabaja.,2.3.9.8.01,Repuestos
26131614,Amortiguadores de cierre de la chimenea,"Resenta una pequeña guillotina para regular la entrada  necesario 
para la combustión.",2.3.9.8.01,Repuestos
26131615,Amortiguadores de desviación de escape,Sistema de control con retroalimentación y de escape.,2.3.9.8.01,Repuestos
26131616,Amortiguadores de aislamiento de escape,"Es un equipo diseñado para brindar niveles apropiados de voltaje a sistemas eléctricos y electrónicos, particularmente a aquellos que están constituidos por elementos que son muy sensibles a las variaciones que con frecuencia se presentan en las redes eléctricas.",2.3.9.8.01,Repuestos
