Código UNSPSC,Descripción,Definición,Código Segmento,Segmento,Código Familia,Familia,Código Clase,Clase,Fecha Versión
27112807,Cuñas,"La cuña es una máquina simple que consiste en una pieza de madera o de metal con forma de prisma triangular con la punta muy filosa. Técnicamente es un doble plano inclinado portátil. Sirve para hender o dividir cuerpos sólidos, para ajustar o apretar uno",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112808,Anillos metálicos,"Es un dispositivo de sujeción-específicamente, un subtipo de mandril que forma un collar alrededor del objeto que se realizará, y ejerce una gran fuerza de sujeción sobre el objeto cuando se aprieta, generalmente por medio de un collar exterior cónica.",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112809,Portaherramientas,Organizador utilizado para mantener en orden las herramientas en un lugar determinado,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112810,Equipos para reparar roscas,"Contienen todo lo que se necesita para llevar a cabo proyectos de reparación de roscas. Se puede utilizar para reparar roscas dañadas.
Se utiliza ampliamente en aplicaciones automovilísticas para la reparación de automóviles, motocicletas y vehículos come",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112811,Árboles,"Un mandril es un tipo especial de prensa usada para sujetar un objeto, usualmente un objeto con simetría radial, en especial un objeto cilindrico. ",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112812,Avellanadores,Un avellanador es una especie de barrena de acero que sirve para alisar las hendiduras que se hacen en el hierro y demás metales. Las hay de varias figuras y dimensiones que varían según su aplicación:,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112813,Vara de extensión,"Pieza construida en forma de telescopio, en que la misma se puede plegar y desplegar para hacerla más larga o más corta",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112814,Brocas de destornillador,Barrena de diferentes tipos de boca que se utiliza para atornillar y desatornillar con la ayuda del taladro,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112815,Brocas para poner tuercas,Es una pieza metálica de corte utilizada por taladro o barbiquí haciendo girar la broca es empleada para hacer orificio y tambien utilizada para impusar tuercas.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112818,Sombreretes o revestimientos de prensas de tornillo,Cubierta que se utiliza para resguardar la superficie de un dispositivo mecánico que se usa para retener dos o más materiales juntos.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112819,Cuchillas de corte para encuadernación,Es una máquina provista de una cuchilla muy afilada que sirve para cortar por igual varias hojas de papel.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112820,Troqueles de herramienta engarzadora de lengüetas,Herramienta utilizada para sostener cables electricos y trabajar con ellos.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112821,Brocas de buriladora,Herramienta utilizada parar perforar cilindro a través del cuerpo de otro material.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112822,Adaptadores de cubo,Permiten colocar lentes y filtros en su cámara o en los objetivos que usa cuando el tamaño de rosca de ambos no coincide.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112823,Cadenas de corte,"La cadena de la sierra, o ""cadena de corte"", es un componente clave de una motosierra. Se compone de eslabones de acero unidas por remaches, y se parece superficialmente a la cadena de rodillos bicicleta de estilo, a pesar de que está más cerca en el dise",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112824,Portabrocas,Es el dispositivo que se utiliza para fijar la broca en la taladradora cuando las brocas tienen el mango cilíndrico. El portabrocas va fijado a la máquina con un mango de cono Morse según sea el tamaño del portabrocas.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112825,Juegos de plantillas de herramienta,"Es un término de carpintero para un equipo de diseño personalizado, que ayuda al artesano a completar una tarea específica.  Al necesitar una ""tercera mano"", un carpintero construye plantillas para herramientas  cuando se enfrentan a un proceso personaliz",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112826,Caladora,"Es un tipo de sierra utilizada para cortar curvas arbitrarias, como diseños de plantilla u otras formas, en una pieza de madera, enchapado, aglomerado, melamina, PVC, vidrio sintético, cartón, cuero, aluminio, zinc, poliestireno, corcho, fibrocemento, ace",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112800,Conexiones de herramientas y accesorios,2026-06-18 12:27:54
27112901,Pistolas de grasa,Pistola para lubricar rodamientos abiertos con baja presión usando cartuchos estándar de grasa. ,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112902,Chimeneas industriales,Son los conductos construidos para dar salida a la atmósfera libre a gases resultantes de una combustión –o de una reacción química (“gases de cola”) – para su dispersión en el aire ambiente.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112903,Rociador manual,"Es un utensilio que se emplea para producir una fina pulverización de un líquido, mediante una bomba manual (de pera de goma o de émbolo), basándose en la aspiración debida al efecto Venturi.",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112904,Pistola de resina,Dispositivo de metal donde se introduce los tubos de resinay por medio de prensa dispensa el material que esta dentro del tubo,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112905,Lata de aceite,Recinto de metal o aluminio donde se depósita el aceite para ser distribuido o eliminado,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112906,Pistolas de calafateado,Dispositivo de metal donde se introduce los tubos de silicona y por medio de prensa dispensa el material que esta dentro del tubo,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112907,Separadores de difusión,Pieza alargada de madera o de otro material que atraviesa una cosa de una parte a otra,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112908,Pistola de aceite,"Pistolas diseñadas para acoplarse a dispensadores de aceite de gran tamaño, para poder dispensar el aceite.",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27112916,Dispensador de combustible líquido o bomba de gasolina.,El surtidor de combustible es una máquina de una gasolinera que se utiliza para poner la gasolina en coches. El surtidor de combustible también se le conoce como bomba de gas o dispensario de la gasolina.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27112900,Herramientas dispensadoras,2026-06-18 12:27:54
27113001,Cepillos de aruñar,Utilizada para pulir maderas y que consiste en una pieza cuadrangular de madera maciza de cuya cara inferior sobresale una especie de cuchilla.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113000,Cepillos,2026-06-18 12:27:54
27113002,Cepillos de tubo,"Cepillos utilizados para limpiar recintos de díficil acceso, como los tubos",27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113000,Cepillos,2026-06-18 12:27:54
27113003,Cepillos de aplicar,Para aplicación de recubrimientos para techos. Puede usarse con el mango cónico,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113000,Cepillos,2026-06-18 12:27:54
27113004,Cepillos de extensor,Es un tipo de cepillo utilizado para pintar madera,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113000,Cepillos,2026-06-18 12:27:54
27113101,Cinta guía,Una cinta de pescado (también conocido como un cable o cinta empate empate) es una herramienta utilizada por los electricistas para cableado nueva ruta a través de las paredes y conductos eléctricos.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113100,Herramientas de arrastre,2026-06-18 12:27:54
27113102,Tirador de fusible,Herramienta especialmente diseñada para ser utilizada para la  instalación o remoción de fusibles.,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113100,Herramientas de arrastre,2026-06-18 12:27:54
27113103,Buril,Un conjunto de máquinas y herramientas que permiten mecanizar piezas de forma geométrica de revolución. Estas máquinas-herramienta operan haciendo girar la pieza a mecanizar (sujeta en el cabezal o fijada entre los puntos de centraje) mientras una o varia,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113100,Herramientas de arrastre,2026-06-18 12:27:54
27113201,Conjuntos generales de herramientas,Conjunto de herramientas de uso general en tareas de mantenimiento y reparación,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113200,Juegos de herramientas,2026-06-18 12:27:54
27113202,Kit de herramientas para ajustar rodamiento,Conjunto de instrumentos destinados para realizar ajustes en los cojinetes,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113200,Juegos de herramientas,2026-06-18 12:27:54
27113203,Kit de herramienta para computadores,Conjunto de instrumentos destinados a la reparación y mantenimiento de computadoras,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113200,Juegos de herramientas,2026-06-18 12:27:54
27113204,Kits de electricista,Conjunto de instrumentos o herramientas especializadas para uso el los electricistas,27000000,Herramientas  y  maquinaria  general,27110000,Herramientas  de  mano,27113200,Juegos de herramientas,2026-06-18 12:27:54
27121501,Suspensiones a presión retornables,Los resortes además proporcionan presión controlada de retorno para el extractor de dados para que los punzones y otras herramientas.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121500,Prensas hidráulicas,2026-06-18 12:27:54
27121502,Bastidores de prensa hidráulica,Enteramente dedicada a la maquila de piezas embutidas asi como troqueladas. Cuenta con una unidad de poder totalmente integrada a la maquina asi como de dos tanques de aceite separados dispuestos asi para procurar el correcto enfriamiento del mismo.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121500,Prensas hidráulicas,2026-06-18 12:27:54
27121503,Columnas de prensa hidráulica,"Esta diseñada para el ajuste de moldes, matrices y troqueles. Hidrogarne fabrica en gama estándar desde 30 t hasta 600 t con total adaptabilidad en dimensiones de mesas, velocidades, número de pistones, automatismos y geometrías especiales. ",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121500,Prensas hidráulicas,2026-06-18 12:27:54
27121601,Pistones de cilindro,"Pieza metalica deslizable, que esta dentro de un cilindro y que se acciona mediante una presion hidraulica , mecanica, o por los gases de combustion",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121600,Pistones y cilindros hidráulicos,2026-06-18 12:27:54
27121602,Cilindros hidráulicos,Son actuadores mecánicos que son usados para dar una fuerza a través de un recorrido lineal.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121600,Pistones y cilindros hidráulicos,2026-06-18 12:27:54
27121603,Vástagos de pistón de cilindro hidráulico,"Se puede extender a través de cualquiera o de ambos extremos de cilindro. El extremo del vastago es normalmente roscado para poder fijar algún tipo de vinculo mecanico, tal como un perno de argolla, una horquilla, o una tuerca de fijacjión.",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121600,Pistones y cilindros hidráulicos,2026-06-18 12:27:54
27121604,Kits de reparación de cilindro hidráulico o sus componentes,Equipo utilizado para la reparación del cilindro hidráulico.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121600,Pistones y cilindros hidráulicos,2026-06-18 12:27:54
27121605,Cuerpos de cilindro hidráulico,"El cuerpo del Cilindro Hidraulico Maestro que acciona el embrague puede llegar a fracturarse debido a un incremento excesivo en la presion hidraulica,",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121600,Pistones y cilindros hidráulicos,2026-06-18 12:27:54
27121606,Soportes de montaje para cilindros hidráulicos,Son las bases donde se colocan los actuadores mecánicos que son usados para dar una fuerza a través de un recorrido lineal.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121600,Pistones y cilindros hidráulicos,2026-06-18 12:27:54
27121701,Conectores hidráulicos rápidos,Son generalmente componentes metálicos que junto con los ensambles de mangueras permiten unir las partes en un Sistema Hidráulico.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27121702,Injertos o injertos dobles hidráulicos,Accesorio de metal que se utiliza para conectar las mangueras por donde se transporta el fluido necesario para trabajar.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27121703,Férulas,Principalmente se conoce por virola al anillo bicónico utilizado en instalaciones de gas o de agua para unir dos caños a presión en aquellos casos en que no es posible realizar una soldadura. También se denomina con este nombre al anillo con que se proteg,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27121704,Uniones hidráulicas,Son generalmente componentes metálicos que junto con los ensambles de mangueras permiten unir las partes en un Sistema Hidráulico. Estos cumplen con Normas y Estándares Internacionales. Aunque básicamente existen dos tipos de construcción (Forjados y Extr,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27121705,Codos hidráulicos o de compresión,"Trozo de tubo doblado en ángulo o en arco, que sirve para variar la dirección de una tubería.",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27121706,Tuercas de férula,Pieza con un hueco labrado en espiral que ajusta exactamente en el filete de un torillo.,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27121707,Conectores de pliegue,"Una conexión de pliegue  se consigue con un tipo de conector de soldadura eléctrica.  Conectores de pliegue se utilizan normalmente para terminar cable trenzado. Cumplen con numerosos usos, incluso permitiendo que los cables que se termina fácilmente a te",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27121700,Accesorios de tubería y manga hidráulica,2026-06-18 12:27:54
27126101,Elevadores de tapas de registro,Herramienta que a través de una bomba hidráulica que puede ser manual o accionada por un motor ayuda a levantar tapas de registro o alcantarillas,27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27126100,Herramientas hidráulicas,2026-06-18 12:27:54
27126102,Acumuladores hidráulicos,"Un acumulador hidráulico es un depósito de almacenamiento a presión en el que se lleva a cabo un fluido no compresible hidráulico a presión por una fuente externa. La fuente externa puede ser un resorte, un peso elevado, o un gas comprimido.",27000000,Herramientas  y  maquinaria  general,27120000,Maquinaria  y  equipo  hidráulico,27126100,Herramientas hidráulicas,2026-06-18 12:27:54
27131501,Llaves de impacto neumático,"La llave de impacto neumática fue inventada por Ingersoll Rand y en su amplísima gama de productos encontraremos desde la más pequeña y precisa llave de impacto de 1/4"" hasta la más grande y potente de 1""1/2 para los trabajos más duros y exigentes.",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131502,Pistola de aire comprimido,"Es un arma que utiliza la fuerza del aire comprimido, en contraposición a las armas de fuego, que se basan en reacciones químicas que producen una gran cantidad de gases al quemarse la pólvora.",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131504,Martillo neumático,"Percutor portátil que basa su funcionamiento en mecanismos de aire comprimido. Realmente funciona como un martillo, pues no agujerea sino que percute la superficie con objeto de romperla en trozos.",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131505,Taladro neumático,Herramienta aguda o cortante con que se agujerea la madera u otra cosa que basu su fuincionamiento en mecanismo de aire comprimido.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131506,Clavadora de clavos neumática,"Dispositivo que funciona a través de aire u otro gas para clavar piezas metálicas, largas y delgadas.",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131507,Máquinas de lijado neumáticas,"Son herramientas efectivas y duraderas para el lijado profesional. Tienen diseño ergonómico, y están fabricadas con materiales ligeros y de alta tecnología, lo que las dota con una resistencia óptima y una gran comodidad de uso. Estas máquinas están const",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131508,Motores neumáticos,Es un tipo de motor que realiza un trabajo mecánico por expansión de aire comprimido. Los motores neumáticos generalmente convierten el aire comprimido en trabajo mecánico a través de un movimiento lineal o principalmente rotativo.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131509,Acumuladores neumáticos,"Son depósitos que  tienen como objetivo almacenar aire comprimido. Los acumuladores suelen llevar un dispositivo que pone en marcha o detiene el compresor, para que el depósito se mantenga siempre a una presión determinada. Además suelen disponer de otros",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131510,Depósitos de acumulador,Recipiente que almacen otro elemento,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131511,Rectificadoras neumáticas,Instrumento  que utilizael aire para rectificar piezas metálicas,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131512,Destornillador neumático,"Instrumento de hierro u otra materia, que sirve para destornillar y atornillar con el apoyo del aire u otro gas",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131500,Herramientas neumáticas,2026-06-18 12:27:54
27131601,Múltiples de aire,Generalmente de metal o fibra de vidrio empleada para conducir el aire de un lugar a otro.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131603,Reguladores de aire,Mecanismo que sirve para ordenar o normalizar el movimiento o los efectos de una unidad de aire acondicionado.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131604,Lubricadores neumáticos,"Se trata de un aceite mineral altamente purificado, con el agregado de un paquete de aditivos y siliconas, que permite recubrir tanto los conductos del sistema como los componentes del mismo de una fina capa de siliconas. Esto impide que la humedad y los ",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131605,Cortina de aire,Es un equipo de ventilación que crea una barrera invisible sobre la puerta para separar dos ambientes diferentes de manera eficiente y sin limitar el acceso de las personas o vehículos.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131608,Conos o almohadillas de vacío,Son una excelente opción para embalaje de protección con relleno del espacio vacío. Estas almohadillas de aire resistentes a la punción mejoran de forma significativa la protección mientras reducen los costos de embalaje y envío.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131609,Silenciadores neumáticos,Sirven para disminuir el ruido y los riesgos de proyección de partículas producidas por los escapes de diferentes componentes neumáticos. Se instalan en las vías de escape de las válvulas de control y de otros tipos de valvulas.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131610,Kits de reparación del engrasador o el regulador,Equipo utilizado en la reparacion del engrasdor o del regulador,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131613,Acoplamiento neumático,"Fue diseñado especialmente para proteger transmisiones y máquinas de los efectos destructivos de las fluctuaciones de torque de alto momento torsional, asociados con máquinas de combustión ",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131614,Adaptadores neumáticos,Este sistema se utiliza para bobinar y desbobinar bobinas que utilicen canutos de diferentes diámetros al previsto para la maquina. La parte metálica permite fijar el adaptador neumático a otro eje y la parte expansible (que suele ser de goma) se encarga,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131600,Accesorios de aire y conectores,2026-06-18 12:27:54
27131701,Cilindros neumáticos,"Dispositivos mecánicos cuáles producen fuerza, a menudo conjuntamente con movimiento, 
y se accionan cerca gas comprimido (típicamente aire).",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131702,Accesorios de vástago de cilindro neumático,"Elementos de soporte para los dispositivos mecánicos que producen fuerza, a menudo conjuntamente con movimiento, y se accionan cerca gas comprimido",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131703,Pistones de cilindro neumático,"Se trata de un émbolo que se ajusta al interior de las paredes del cilindro mediante aros flexibles llamados segmentos o anillos. Efectúa un movimiento alternativo, obligando al fluido que ocupa el cilindro a modificar su presión y volumen o transformando",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131704,Vástagos de pistón de cilindro neumático,"Están diseñados con varillas roscadas de acero para asegurar las dos tapas de las puntas al barril del cilindro, y los vástagos de acero duran mucho y siempre son muy fuertes. Estos cilindros son muy utilizados en las fábricas industriales.",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131705,Cuerpo de cilindro neumático,"Es el cuerpo de los dispositivos mecánicos cuáles producen fuerza, a menudo conjuntamente con movimiento, y se accionan cerca gas comprimido (típicamente aire).",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131706,Capacetes de cilindro neumático,"Pieza que recubre el dispositivo mecánicos que produce fuerza, a menudo conjuntamente con movimiento, y se accionan cerca gas comprimido.",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131707,Kits de reparación de cilindro neumático o sus componentes,"Instrumentos que se utilizan para reparar los dispositivos mecánicos que producen fuerza, a menudo conjuntamente con movimiento, 
y se accionan cerca gas comprimido",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131708,Soportes de montaje para cilindros neumáticos,"Son las bases donde se colocan los dispositivos mecánicos que producen fuerza, a menudo conjuntamente con movimiento, y se accionan cerca gas comprimido",27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27131709,Anillos amortiguadores de cilindro neumático,El anillo amortiguador de HYDAC permite reducir el nivel de ruidos gracias a la goma elástica hermética que separa la unidad de accionamiento y el depósito.,27000000,Herramientas  y  maquinaria  general,27130000,Maquinaria  y  equipo  neumático,27131700,Cilindros neumáticos y componentes,2026-06-18 12:27:54
27141001,Herramientas de recorte o moldeo,"Instrumento utilizado para dar forma a una materia, pudiendo utilizar un molde",27000000,Herramientas  y  maquinaria  general,27140000,Herramientas  especializadas  automotrices,27141000,Herramientas de carrocería,2026-06-18 12:27:54
27141101,Extractor del volante,Extrae el volante en la mayoría de los autos nacionales e importados con o sin columnas de dirección telescópicas ajustables.,27000000,Herramientas  y  maquinaria  general,27140000,Herramientas  especializadas  automotrices,27141100,Herramientas de suspensión,2026-06-18 12:27:54
30101501,Ángulos de aleación ferrosa,"Los  angulares aleación ferrosa, también conocidos como barras angulares, barras o vigas L, son barras de metal que están plegadas longitudinalmente en un ángulo de 90 grados. Ofrecen soporte estructural y un marco para casas y edificios, así como también",30000000,"Componentes  y  suministros  para  estructuras,  edificación,  construcción  y  obras  civiles",30100000,Componentes  estructurales  y  formas  básicas,30101500,Ángulos,2026-06-18 12:27:54
30101502,Ángulos de aleación no ferrosa,"Los  angulares aleación no ferrosa, también conocidos como barras angulares, barras o vigas L, son barras de metal que están plegadas longitudinalmente en un ángulo de 90 grados. Ofrecen soporte estructural y un marco para casas y edificios, así como tamb",30000000,"Componentes  y  suministros  para  estructuras,  edificación,  construcción  y  obras  civiles",30100000,Componentes  estructurales  y  formas  básicas,30101500,Ángulos,2026-06-18 12:27:54
30101503,Ángulos de hierro,"Los  angulares de hierro, también conocidos como barras angulares, barras o vigas L, son barras de metal que están plegadas longitudinalmente en un ángulo de 90 grados. Ofrecen soporte estructural y un marco para casas y edificios, así como también para l",30000000,"Componentes  y  suministros  para  estructuras,  edificación,  construcción  y  obras  civiles",30100000,Componentes  estructurales  y  formas  básicas,30101500,Ángulos,2026-06-18 12:27:54
30101504,Ángulos de acero,"Los  angulares de acero, también conocidos como barras angulares, barras o vigas L, son barras de metal que están plegadas longitudinalmente en un ángulo de 90 grados. Ofrecen soporte estructural y un marco para casas y edificios, así como también para la",30000000,"Componentes  y  suministros  para  estructuras,  edificación,  construcción  y  obras  civiles",30100000,Componentes  estructurales  y  formas  básicas,30101500,Ángulos,2026-06-18 12:27:54
30101505,Ángulos de acero inoxidable,"Los  angulares de acero inoxidable, también conocidos como barras angulares, barras o vigas L, son barras de metal que están plegadas longitudinalmente en un ángulo de 90 grados. Ofrecen soporte estructural y un marco para casas y edificios, así como tamb",30000000,"Componentes  y  suministros  para  estructuras,  edificación,  construcción  y  obras  civiles",30100000,Componentes  estructurales  y  formas  básicas,30101500,Ángulos,2026-06-18 12:27:54
